table,constraint,column,parent,prt_col
verify_student_softwaresecurephotoverification,verify_student_softw_user_id_66ca4f6d_fk_auth_user,user_id,auth_user,id
verify_student_ssoverification,verify_student_ssoverification_user_id_5e6186eb_fk_auth_user_id,user_id,auth_user,id
verify_student_sspverificationretryconfig,verify_student_sspve_changed_by_id_c035fbe5_fk_auth_user,changed_by_id,auth_user,id
video_config_coursehlsplaybackenabledflag,video_config_courseh_changed_by_id_fa268d53_fk_auth_user,changed_by_id,auth_user,id
video_config_coursevideotranscriptenabledflag,video_config_coursev_changed_by_id_3bdcf2a6_fk_auth_user,changed_by_id,auth_user,id
video_config_courseyoutubeblockedflag,video_config_coursey_changed_by_id_3496713f_fk_auth_user,changed_by_id,auth_user,id
video_config_hlsplaybackenabledflag,video_config_hlsplay_changed_by_id_d93f2234_fk_auth_user,changed_by_id,auth_user,id
video_config_transcriptmigrationsetting,video_config_transcr_changed_by_id_4c7817bd_fk_auth_user,changed_by_id,auth_user,id
video_config_videotranscriptenabledflag,video_config_videotr_changed_by_id_9f0afd7f_fk_auth_user,changed_by_id,auth_user,id
video_pipeline_coursevideouploadsenabledbydefault,video_pipeline_cours_changed_by_id_84ec1a58_fk_auth_user,changed_by_id,auth_user,id
video_pipeline_vempipelineintegration,video_pipeline_vempi_changed_by_id_cadc1895_fk_auth_user,changed_by_id,auth_user,id
video_pipeline_videouploadsenabledbydefault,video_pipeline_video_changed_by_id_3d066822_fk_auth_user,changed_by_id,auth_user,id
xblock_config_studioconfig,xblock_config_studio_changed_by_id_8e87ad07_fk_auth_user,changed_by_id,auth_user,id
